0x4:b8080050	 brai	 0x50	 
0x50:b0000000	 imm	 0x0	 
0x54:31a00c30	 addik	 r13,  r0,  0xc30	 
0x54:31a00c30	 addik	 r13,  r0,  0xc30	 
0x58:b0000000	 imm	 0x0	 
0x5c:30400ae8	 addik	 r2,  r0,  0xae8	 
0x5c:30400ae8	 addik	 r2,  r0,  0xae8	 
0x60:b0000001	 imm	 0x1	 
0x64:30209c80	 addik	 r1,  r0,  0x9c80	 
0x64:30209c80	 addik	 r1,  r0,  0x9c80	 
0x68:b0000000	 imm	 0x0	 
0x6c:b9f401bc	 brlid	 r15,  0x1bc	 
0x70:80000000	 or	 r0,  r0,  r0	 
0x6c:b9f401bc	 brlid	 r15,  0x1bc	 
0x70:80000000	 or	 r0,  r0,  r0	 
0x70:80000000	 or	 r0,  r0,  r0	 
0x228:2021ffd8	 addi	 r1,  r1,  0xffd8	 
0x22c:f9e10000	 swi	 r15,  r1,  0x0	 
0x230:b0000000	 imm	 0x0	 
0x234:20c00c30	 addi	 r6,  r0,  0xc30	 
0x234:20c00c30	 addi	 r6,  r0,  0xc30	 
0x238:b0000000	 imm	 0x0	 
0x23c:20e00c30	 addi	 r7,  r0,  0xc30	 
0x23c:20e00c30	 addi	 r7,  r0,  0xc30	 
0x240:06463800	 rsub	 r18,  r6,  r7	 
0x244:bc720014	 blei	 r18,  0x14	 
0x25c:20c00c30	 addi	 r6,  r0,  0xc30	 
0x260:b0000000	 imm	 0x0	 
0x264:20e00ca0	 addi	 r7,  r0,  0xca0	 
0x264:20e00ca0	 addi	 r7,  r0,  0xca0	 
0x268:06463800	 rsub	 r18,  r6,  r7	 
0x26c:bc720014	 blei	 r18,  0x14	 
0x274:20c60004	 addi	 r6,  r6,  0x4	 
0x278:06463800	 rsub	 r18,  r6,  r7	 
0x27c:bc92fff4	 bgti	 r18,  0xfff4	 
0x274:20c60004	 addi	 r6,  r6,  0x4	 
0x278:06463800	 rsub	 r18,  r6,  r7	 
0x27c:bc92fff4	 bgti	 r18,  0xfff4	 
0x274:20c60004	 addi	 r6,  r6,  0x4	 
0x278:06463800	 rsub	 r18,  r6,  r7	 
0x27c:bc92fff4	 bgti	 r18,  0xfff4	 
0x274:20c60004	 addi	 r6,  r6,  0x4	 
0x278:06463800	 rsub	 r18,  r6,  r7	 
0x27c:bc92fff4	 bgti	 r18,  0xfff4	 
0x274:20c60004	 addi	 r6,  r6,  0x4	 
0x278:06463800	 rsub	 r18,  r6,  r7	 
0x27c:bc92fff4	 bgti	 r18,  0xfff4	 
0x274:20c60004	 addi	 r6,  r6,  0x4	 
0x278:06463800	 rsub	 r18,  r6,  r7	 
0x27c:bc92fff4	 bgti	 r18,  0xfff4	 
0x274:20c60004	 addi	 r6,  r6,  0x4	 
0x278:06463800	 rsub	 r18,  r6,  r7	 
0x27c:bc92fff4	 bgti	 r18,  0xfff4	 
0x274:20c60004	 addi	 r6,  r6,  0x4	 
0x278:06463800	 rsub	 r18,  r6,  r7	 
0x27c:bc92fff4	 bgti	 r18,  0xfff4	 
0x274:20c60004	 addi	 r6,  r6,  0x4	 
0x278:06463800	 rsub	 r18,  r6,  r7	 
0x27c:bc92fff4	 bgti	 r18,  0xfff4	 
0x274:20c60004	 addi	 r6,  r6,  0x4	 
0x278:06463800	 rsub	 r18,  r6,  r7	 
0x27c:bc92fff4	 bgti	 r18,  0xfff4	 
0x274:20c60004	 addi	 r6,  r6,  0x4	 
0x278:06463800	 rsub	 r18,  r6,  r7	 
0x27c:bc92fff4	 bgti	 r18,  0xfff4	 
0x274:20c60004	 addi	 r6,  r6,  0x4	 
0x278:06463800	 rsub	 r18,  r6,  r7	 
0x27c:bc92fff4	 bgti	 r18,  0xfff4	 
0x274:20c60004	 addi	 r6,  r6,  0x4	 
0x278:06463800	 rsub	 r18,  r6,  r7	 
0x27c:bc92fff4	 bgti	 r18,  0xfff4	 
0x274:20c60004	 addi	 r6,  r6,  0x4	 
0x278:06463800	 rsub	 r18,  r6,  r7	 
0x27c:bc92fff4	 bgti	 r18,  0xfff4	 
0x274:20c60004	 addi	 r6,  r6,  0x4	 
0x278:06463800	 rsub	 r18,  r6,  r7	 
0x27c:bc92fff4	 bgti	 r18,  0xfff4	 
0x274:20c60004	 addi	 r6,  r6,  0x4	 
0x278:06463800	 rsub	 r18,  r6,  r7	 
0x27c:bc92fff4	 bgti	 r18,  0xfff4	 
0x274:20c60004	 addi	 r6,  r6,  0x4	 
0x278:06463800	 rsub	 r18,  r6,  r7	 
0x27c:bc92fff4	 bgti	 r18,  0xfff4	 
0x274:20c60004	 addi	 r6,  r6,  0x4	 
0x278:06463800	 rsub	 r18,  r6,  r7	 
0x27c:bc92fff4	 bgti	 r18,  0xfff4	 
0x274:20c60004	 addi	 r6,  r6,  0x4	 
0x278:06463800	 rsub	 r18,  r6,  r7	 
0x27c:bc92fff4	 bgti	 r18,  0xfff4	 
0x274:20c60004	 addi	 r6,  r6,  0x4	 
0x278:06463800	 rsub	 r18,  r6,  r7	 
0x27c:bc92fff4	 bgti	 r18,  0xfff4	 
0x274:20c60004	 addi	 r6,  r6,  0x4	 
0x278:06463800	 rsub	 r18,  r6,  r7	 
0x27c:bc92fff4	 bgti	 r18,  0xfff4	 
0x274:20c60004	 addi	 r6,  r6,  0x4	 
0x278:06463800	 rsub	 r18,  r6,  r7	 
0x27c:bc92fff4	 bgti	 r18,  0xfff4	 
0x274:20c60004	 addi	 r6,  r6,  0x4	 
0x278:06463800	 rsub	 r18,  r6,  r7	 
0x27c:bc92fff4	 bgti	 r18,  0xfff4	 
0x274:20c60004	 addi	 r6,  r6,  0x4	 
0x278:06463800	 rsub	 r18,  r6,  r7	 
0x27c:bc92fff4	 bgti	 r18,  0xfff4	 
0x274:20c60004	 addi	 r6,  r6,  0x4	 
0x278:06463800	 rsub	 r18,  r6,  r7	 
0x27c:bc92fff4	 bgti	 r18,  0xfff4	 
0x274:20c60004	 addi	 r6,  r6,  0x4	 
0x278:06463800	 rsub	 r18,  r6,  r7	 
0x27c:bc92fff4	 bgti	 r18,  0xfff4	 
0x274:20c60004	 addi	 r6,  r6,  0x4	 
0x278:06463800	 rsub	 r18,  r6,  r7	 
0x27c:bc92fff4	 bgti	 r18,  0xfff4	 
0x274:20c60004	 addi	 r6,  r6,  0x4	 
0x278:06463800	 rsub	 r18,  r6,  r7	 
0x27c:bc92fff4	 bgti	 r18,  0xfff4	 
0x284:b9f404e8	 brlid	 r15,  0x4e8	 
0x288:80000000	 or	 r0,  r0,  r0	 
0x288:80000000	 or	 r0,  r0,  r0	 
0x76c:b60f0008	 rtsd	 r15,  0x8	 
0x770:80000000	 or	 r0,  r0,  r0	 
0x770:80000000	 or	 r0,  r0,  r0	 
0x28c:b0000000	 imm	 0x0	 
0x290:b9f407e8	 brlid	 r15,  0x7e8	 
0x294:80000000	 or	 r0,  r0,  r0	 
0x290:b9f407e8	 brlid	 r15,  0x7e8	 
0x294:80000000	 or	 r0,  r0,  r0	 
0x294:80000000	 or	 r0,  r0,  r0	 
0xa78:3021fff0	 addik	 r1,  r1,  0xfff0	 
0xa7c:d9e00800	 sw	 r15,  r0,  r1	 
0xa80:3160ffff	 addik	 r11,  r0,  0xffff	 
0xa84:940bc802	 unknown		 
0xa88:31600000	 addik	 r11,  r0,  0x0	 
0xa88:31600000	 addik	 r11,  r0,  0x0	 
0xa8c:940bc800	 unknown		 
0xa90:b000ffff	 imm	 0xffff	 
0xa94:b9f4f750	 brlid	 r15,  0xf750	 
0xa98:80000000	 or	 r0,  r0,  r0	 
0xa90:b000ffff	 imm	 0xffff	 
0xa94:b9f4f750	 brlid	 r15,  0xf750	 
0xa98:80000000	 or	 r0,  r0,  r0	 
0xa94:b9f4f750	 brlid	 r15,  0xf750	 
0xa98:80000000	 or	 r0,  r0,  r0	 
0xa98:80000000	 or	 r0,  r0,  r0	 
0x1e4:b0000000	 imm	 0x0	 
0x1e8:30600000	 addik	 r3,  r0,  0x0	 
0x1e8:30600000	 addik	 r3,  r0,  0x0	 
0x1ec:3021ffe4	 addik	 r1,  r1,  0xffe4	 
0x1f0:be030024	 beqid	 r3,  0x24	 
0x1f4:f9e10000	 swi	 r15,  r1,  0x0	 
0x1f4:f9e10000	 swi	 r15,  r1,  0x0	 
0x214:b9f4feb8	 brlid	 r15,  0xfeb8	 
0x218:80000000	 or	 r0,  r0,  r0	 
